"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 19 16:14:16 GMT 56412","Sun Feb 19 16:14:17 GMT 56412","157","","Gonkey","","Gonkey","Test APOD endpoint with lower boundary date","Test APOD endpoint with lower boundary date","Test GET /planetary/apod with lower boundary date"
"passed","Sun Feb 19 16:20:55 GMT 56412","Sun Feb 19 16:20:55 GMT 56412","165","","Gonkey","","Gonkey","Test APOD endpoint with upper boundary date","Test APOD endpoint with upper boundary date","Test GET /planetary/apod with upper boundary date"
"passed","Sun Feb 19 16:10:57 GMT 56412","Sun Feb 19 16:10:57 GMT 56412","124","","Gonkey","","Gonkey","Test APOD endpoint with missing API key","Test APOD endpoint with missing API key","Test GET /planetary/apod with a missing API key"
"passed","Sun Feb 19 16:15:58 GMT 56412","Sun Feb 19 16:15:58 GMT 56412","150","","Gonkey","","Gonkey","Test APOD endpoint with minimal data","Test APOD endpoint with minimal data","Test GET /planetary/apod with minimal data"
"passed","Sun Feb 19 16:19:11 GMT 56412","Sun Feb 19 16:19:11 GMT 56412","170","","Gonkey","","Gonkey","Test APOD endpoint with no data available for date","Test APOD endpoint with no data available for date","Test GET /planetary/apod with no data available for date"
"passed","Sun Feb 19 16:11:33 GMT 56412","Sun Feb 19 16:11:34 GMT 56412","146","","Gonkey","","Gonkey","Test APOD endpoint with invalid API key","Test APOD endpoint with invalid API key","Test GET /planetary/apod with an invalid API key"
"passed","Sun Feb 19 16:10:24 GMT 56412","Sun Feb 19 16:10:24 GMT 56412","124","","Gonkey","","Gonkey","Test endpoint with valid API key","Test endpoint with valid API key","Test GET /planetary/apod with a valid API key"
