"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 12:04:25 GMT 56412","Thu Feb 16 12:04:25 GMT 56412","176","","Gonkey","","Gonkey","Test APOD endpoint with invalid API key","Test APOD endpoint with invalid API key","Test GET /planetary/apod with an invalid API key"
"passed","Thu Feb 16 12:09:41 GMT 56412","Thu Feb 16 12:09:41 GMT 56412","189","","Gonkey","","Gonkey","Test APOD endpoint with minimal data","Test APOD endpoint with minimal data","Test GET /planetary/apod with minimal data"
"passed","Thu Feb 16 12:07:06 GMT 56412","Thu Feb 16 12:07:06 GMT 56412","192","","Gonkey","","Gonkey","Test APOD endpoint with lower boundary date","Test APOD endpoint with lower boundary date","Test GET /planetary/apod with lower boundary date"
"passed","Thu Feb 16 12:02:59 GMT 56412","Thu Feb 16 12:02:59 GMT 56412","185","","Gonkey","","Gonkey","Test APOD endpoint with missing API key","Test APOD endpoint with missing API key","Test GET /planetary/apod with a missing API key"
"passed","Thu Feb 16 12:01:31 GMT 56412","Thu Feb 16 12:01:31 GMT 56412","174","","Gonkey","","Gonkey","Test endpoint with valid API key","Test endpoint with valid API key","Test GET /planetary/apod with a valid API key"
"passed","Thu Feb 16 12:13:00 GMT 56412","Thu Feb 16 12:13:00 GMT 56412","167","","Gonkey","","Gonkey","Test APOD endpoint with no data available for date","Test APOD endpoint with no data available for date","Test GET /planetary/apod with no data available for date"
"passed","Thu Feb 16 12:16:47 GMT 56412","Thu Feb 16 12:16:48 GMT 56412","196","","Gonkey","","Gonkey","Test APOD endpoint with upper boundary date","Test APOD endpoint with upper boundary date","Test GET /planetary/apod with upper boundary date"
