"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 29 15:17:42 GMT 56412","Wed Feb 29 15:17:42 GMT 56412","133","","Gonkey","","Gonkey","Test APOD endpoint with invalid API key","Test APOD endpoint with invalid API key","Test GET /planetary/apod with an invalid API key"
"passed","Wed Feb 29 15:28:42 GMT 56412","Wed Feb 29 15:28:42 GMT 56412","137","","Gonkey","","Gonkey","Test APOD endpoint with upper boundary date","Test APOD endpoint with upper boundary date","Test GET /planetary/apod with upper boundary date"
"passed","Wed Feb 29 15:16:37 GMT 56412","Wed Feb 29 15:16:37 GMT 56412","100","","Gonkey","","Gonkey","Test APOD endpoint with missing API key","Test APOD endpoint with missing API key","Test GET /planetary/apod with a missing API key"
"passed","Wed Feb 29 15:26:17 GMT 56412","Wed Feb 29 15:26:17 GMT 56412","148","","Gonkey","","Gonkey","Test APOD endpoint with no data available for date","Test APOD endpoint with no data available for date","Test GET /planetary/apod with no data available for date"
"passed","Wed Feb 29 15:15:31 GMT 56412","Wed Feb 29 15:15:31 GMT 56412","236","","Gonkey","","Gonkey","Test endpoint with valid API key","Test endpoint with valid API key","Test GET /planetary/apod with a valid API key"
"passed","Wed Feb 29 15:23:20 GMT 56412","Wed Feb 29 15:23:20 GMT 56412","152","","Gonkey","","Gonkey","Test APOD endpoint with minimal data","Test APOD endpoint with minimal data","Test GET /planetary/apod with minimal data"
"passed","Wed Feb 29 15:21:02 GMT 56412","Wed Feb 29 15:21:03 GMT 56412","178","","Gonkey","","Gonkey","Test APOD endpoint with lower boundary date","Test APOD endpoint with lower boundary date","Test GET /planetary/apod with lower boundary date"
