"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 06 08:04:34 GMT 56412","Wed Jun 06 08:04:35 GMT 56412","183","","Gonkey","","Gonkey","Test APOD endpoint with lower boundary date","Test APOD endpoint with lower boundary date","Test GET /planetary/apod with lower boundary date"
"passed","Wed Jun 06 08:13:20 GMT 56412","Wed Jun 06 08:13:21 GMT 56412","184","","Gonkey","","Gonkey","Test APOD endpoint with upper boundary date","Test APOD endpoint with upper boundary date","Test GET /planetary/apod with upper boundary date"
"passed","Wed Jun 06 08:01:48 GMT 56412","Wed Jun 06 08:01:48 GMT 56412","693","","Gonkey","","Gonkey","Test APOD endpoint with invalid API key","Test APOD endpoint with invalid API key","Test GET /planetary/apod with an invalid API key"
"passed","Wed Jun 06 08:00:18 GMT 56412","Wed Jun 06 08:00:18 GMT 56412","588","","Gonkey","","Gonkey","Test APOD endpoint with missing API key","Test APOD endpoint with missing API key","Test GET /planetary/apod with a missing API key"
"passed","Wed Jun 06 07:58:47 GMT 56412","Wed Jun 06 07:58:48 GMT 56412","486","","Gonkey","","Gonkey","Test endpoint with valid API key","Test endpoint with valid API key","Test GET /planetary/apod with a valid API key"
"passed","Wed Jun 06 08:10:36 GMT 56412","Wed Jun 06 08:10:36 GMT 56412","164","","Gonkey","","Gonkey","Test APOD endpoint with no data available for date","Test APOD endpoint with no data available for date","Test GET /planetary/apod with no data available for date"
"passed","Wed Jun 06 08:07:15 GMT 56412","Wed Jun 06 08:07:15 GMT 56412","323","","Gonkey","","Gonkey","Test APOD endpoint with minimal data","Test APOD endpoint with minimal data","Test GET /planetary/apod with minimal data"
