"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 02 02:21:58 GMT 56412","Sat Jun 02 02:21:58 GMT 56412","181","","Gonkey","","Gonkey","Test APOD endpoint with missing API key","Test APOD endpoint with missing API key","Test GET /planetary/apod with a missing API key"
"passed","Sat Jun 02 02:30:36 GMT 56412","Sat Jun 02 02:30:36 GMT 56412","162","","Gonkey","","Gonkey","Test APOD endpoint with no data available for date","Test APOD endpoint with no data available for date","Test GET /planetary/apod with no data available for date"
"passed","Sat Jun 02 02:20:51 GMT 56412","Sat Jun 02 02:20:51 GMT 56412","279","","Gonkey","","Gonkey","Test endpoint with valid API key","Test endpoint with valid API key","Test GET /planetary/apod with a valid API key"
"passed","Sat Jun 02 02:25:25 GMT 56412","Sat Jun 02 02:25:25 GMT 56412","167","","Gonkey","","Gonkey","Test APOD endpoint with lower boundary date","Test APOD endpoint with lower boundary date","Test GET /planetary/apod with lower boundary date"
"passed","Sat Jun 02 02:33:57 GMT 56412","Sat Jun 02 02:33:58 GMT 56412","340","","Gonkey","","Gonkey","Test APOD endpoint with upper boundary date","Test APOD endpoint with upper boundary date","Test GET /planetary/apod with upper boundary date"
"passed","Sat Jun 02 02:23:06 GMT 56412","Sat Jun 02 02:23:06 GMT 56412","187","","Gonkey","","Gonkey","Test APOD endpoint with invalid API key","Test APOD endpoint with invalid API key","Test GET /planetary/apod with an invalid API key"
"passed","Sat Jun 02 02:27:43 GMT 56412","Sat Jun 02 02:27:43 GMT 56412","183","","Gonkey","","Gonkey","Test APOD endpoint with minimal data","Test APOD endpoint with minimal data","Test GET /planetary/apod with minimal data"
